trial_num,count,word,dimension,filename
,,traimin,diff_obj,traimin_diff_obj.mp4
,,traimin,diff_proc,traimin_diff_proc.mp4
,,traimin,diff_state,traimin_diff_state.mp4
,,traimin,same_obj,traimin_same_obj.mp4
,,traimin,same_proc,traimin_same_proc.mp4
,,traimin,initial,traimin1.mp4
,,traimin,initial,traimin2.mp4
,,traimin,initial,traimin3.mp4
,,pulact,diff_obj,pulact_diff_obj.mp4
,,pulact,diff_proc,pulact_diff_proc.mp4
,,pulact,diff_state,pulact_diff_state.mp4
,,pulact,same_proc,pulact_same_proc.mp4
,,pulact,same_state,pulact_same_state.mp4
,,pulact,initial,pulact1.mp4
,,nulmut,all_diff,nulmut_all_diff.mp4
,,nulmut,diff_obj,nulmut_diff_obj.mp4
,,nulmut,diff_proc,nulmut_diff_proc.mp4
,,nulmut,diff_state,nulmut_diff_state.mp4
,,nulmut,same_obj,nulmut_same_obj.mp4
,,nulmut,same_proc,nulmut_same_proc.mp4
,,nulmut,same_state,nulmut_same_state.mp4
,,nulmut,initial,nulmut1.mp4
,,nulmut,initial,nulmut2l.mp4
,,nulmut,initial,nulmut3.mp4
,,lorice,same_state,lorice_same_state.mp4
,,lorice,diff_obj,lorice_diff_obj.mp4
,,lorice,diff_proc,lorice_diff_proc.mp4
,,lorice,diff_state,lorice_diff_state.mp4
,,lorice,same_obj,lorice_same_obj.mp4
,,lorice,same_proc,lorice_same_proc.mp4
,,lorice,initial,lorice1.mp4
,,lorice,initial,lorice2.mp4
,,lorice,initial,lorice3.mp4
,,lorice,initial,lorice4.mp4
,,joicate,diff_obj,joicate_diff_obj.mp4
,,joicate,diff_proc,joicate_diff_proc.mp4
,,joicate,diff_state,joicate_diff_state.mp4
,,barbul,same_proc,barbul_same_proc.mp4
,,barbul,initial,barbul1.mp4
,,barbul,initial,barbul2.mp4
,,barbul,initial,barbul3.mp4
,,pulact,same_obj,pulact_same_obj.mp4
,,pulact,intial,pulact2.mp4
,,pulact,initial,pulact3.mp4
,,cabush,same_proc,cabush_same_proc.mp4
,,joicate,initial,joicate1.mp4
,,joicate,same_obj,joicate_same_obj.mp4
,,joicate,same_proc,joicate_same_proc.mp4
,,joicate,same_state,joicate_same_state.mp4
